Title,URL
[core] Ignore a few flaky visual tests (#19226),https://github.com/mui-org/material-ui/commit/341d0f3d2aa837cbfe890a6695293180f2164f41
[docs] Batch small changes (#16951)\n\n* [docs] Remove Localize backer\r\n\r\nWe should have removed it last month but forgotten\r\n\r\n* [docs] Document safer path import\r\n\r\n* [docs] Remove double space\r\n\r\n* [docs] Remove redundant prop\r\n\r\n* [docs] Focus on v4.x releases now\r\n\r\n* [docs] Sort demos by popularity\r\n\r\n* [test] Disable flaky tests\r\n\r\n* [docs] Increase the likeness to get backlinks\r\n\r\nThe copyright approach is more valuable for our users than the made with love.\r\n\r\n* [blog] Add v1 link so we can change the canonical url on Medium\r\n\r\n* green build,https://github.com/mui-org/material-ui/commit/0b299e12a27156a7176a801b472a5bf773915bec
"Batch small changes (#16883)\n\n* [test] Disable flaky CustomizedTreeView.png\r\n\r\n* [docs] The outline is no always blue\r\n\r\n* [docs] Remove dead icon\r\n\r\n* [docs] Use the same favicon everywhere\r\n\r\n* [docs] Real life use case\r\n\r\n* [docs] Copy JSFiddle wordings\r\n\r\n* [docs] Migrate TypeScript demos\r\n\r\n* [docs] Rename themes -> theming\r\n\r\nAvoid keyword conflict, reproduce Bootstrap wording\r\n\r\n* [docs] Improve datepicker demos\r\n\r\n* Kristoffer review\r\n\r\n* Matt review\r\n\r\n* minimize diff\r\n\r\n* Matt reivew",https://github.com/mui-org/material-ui/commit/42a2bf354140987dbc7f4a4817a4b6b044e87320
"[test] Fix a flaky test (#15445)\n\n* [test] Fix a flaky test\r\n\r\n* Onepixel is closing remove it\r\n\r\n* remove styles warning in test env\r\n\r\n* migration guide JSS v10 vs v9\r\n\r\n* Fix a few accessibility errors reported by Wave\r\n\r\n* font-awesome flakyness, reject when inactive, investigate",https://github.com/mui-org/material-ui/commit/004bb030ae626dd85bec84d19d367cb02c75fd2c
[test] Fix Argos-CI flakyness (#12142),https://github.com/mui-org/material-ui/commit/734023dc423b7b1792efbc6a4d3f1e77007c3c84
[test] The size limit is flaky :o,https://github.com/mui-org/material-ui/commit/7d66bcee86dc0bf3bbb4cf43621400f07027d8dd
[test] Fix flaky popper.js test (#9168),https://github.com/mui-org/material-ui/commit/9d1c2f0ab014c76ddc042dea58a6a9384fc108f4
Build: Fix flaky story (#8459)\n\nBuild: Fix flaky story\r\n\r\nCo-authored-by: Michael Shilman <shilman@users.noreply.github.com>,https://github.com/storybookjs/storybook/commit/fd7193abe02c4b6f8cf1a2527f322bd5ab687df6
FIX flaky story,https://github.com/storybookjs/storybook/commit/8d135069690f5552ad62aa33c21c1662706f1cc7
"Hitting some flakiness in now deploys, this might help (#8200)\n\nHitting some flakiness in now deploys, this might help",https://github.com/storybookjs/storybook/commit/f44bcb1fc247e973300318c2f2601b5501d983aa
"Hitting some flakiness in now deploys, this might help\n\nhttps://github.com/yarnpkg/yarn/issues/2629",https://github.com/storybookjs/storybook/commit/77c6129853d833f2ae44f1e9ca22fde8e9a8da8a
"Image snapshots: raise threshold, skip too flaky stories",https://github.com/storybookjs/storybook/commit/85f1f7f64a1af4fd82296f1a3354528720a97d3e
Brought back (flaky) Firefox support,https://github.com/storybookjs/storybook/commit/2bd338a62d21e645310a43e823dbee8264667ad9
fix intermittent variable declaration error in camper news view,https://github.com/freeCodeCamp/freeCodeCamp/commit/d0a40dc2026a68ef6540adfe908393b1edd09553
Merge pull request #1099 from benjamn/make-ReactWebWorker-test-less-flaky\n\nMake ReactWebWorker-test.js less flaky.,https://github.com/facebook/react/commit/634e41788aa38c54cc5715a840cfa5590c3f77a6
"Make ReactWebWorker-test.js less flaky.\n\nTwo improvements: make sure we set `done = true` when an error message is\nreceived, so that the test output contains the error message instead of\neventually timing out and displaying nothing useful; and increase the\ntimeout for this particular test from 5000ms (the default) to 20000ms.",https://github.com/facebook/react/commit/47ae8654281874b7e30859876bc05d984d3b8d68
Absolute urls for less flakiness,https://github.com/facebook/react/commit/fc572832b10792ce3aca764648e6f49d29dabadb
Use local `grunt` executable on Travis\n\nBuilds have been flaky lately. Maybe this will help?,https://github.com/facebook/react/commit/e534e0730e4eaf5fea577e0ecfab2b2b375a3370
"Remove feature test from invokeGuardedCallbackDev (#10283)\n\nThe critical semantics are resilient to browser flakiness, so we don't\r\nneed this feature test.\r\n\r\nAlso added comments explaining how invokeGuardedCallback dev works.",https://github.com/facebook/react/commit/6c66d38d2549d14a3775a6a0687be6375967d009
"More reliable error-recovery tests (#5281)\n\nAs they were failing intermittently, this PR tries to solve that.",https://github.com/zeit/next.js/commit/139bc40fb535b520273c8169693c5273c75493b0
Introduce dynamic(() => import()) (#5249)\n\n* Add failing tests\r\n\r\n* Upgrade wd module\r\n\r\n* Pass dynamic import webpack ids to the client side\r\n\r\n* Pass through webpack ids to initalializer and only use those\r\n\r\n* Compile dynamic(import()) to dynamic(() => import())\r\n\r\n* Default dynamicIds\r\n\r\n* Use forked hard-source-plugin\r\n\r\n* Possibly fix test\r\n\r\n* Make tests fail less intermittently\r\n\r\n* Temporarily disable hard-source in production\r\n\r\n* Make sure dynamic import chunks are unique\r\n\r\n* Disable hard-source\r\n\r\n* Log html if error is thrown\r\n\r\n* Fix test,https://github.com/zeit/next.js/commit/42736c061ad0e5610522de2517c928b2b8af0ed4
Fix test intermittently failing,https://github.com/zeit/next.js/commit/3dae7cf9a6bec9ac6d20cafa132c65284efdda97
Fix loading... issue (#5058)\n\nThis fixes intermittent `loading...` on some requests which surfaced on zeit.co when upgrading,https://github.com/zeit/next.js/commit/e1c544cd758d4410b0cd4c2548dc597bb5bda9f1
